model,ood_tier,method_id,K,base_split_seed,support_split_seed,optimization_seed,protocol,n_test_rows,mae_sec,rmse_sec,mean_error_sec,spearman,r2,prediction_unique,prediction_std
Graphormer-RT scratch179,internal_OOD,0238,0,2020,,23,zero-shot,580,31.959786877670357,42.20511490003498,-2.9897232397443383,0.9419575232657095,0.8880347578647412,552,106.92362771548441
Graphormer-RT scratch179,internal_OOD,0238,0,2022,,23,zero-shot,580,29.09664331899217,39.7233162710502,-11.465500716063804,0.9409014854205902,0.9008154457396519,553,114.595990481416
Graphormer-RT scratch179,internal_OOD,0238,0,2027,,23,zero-shot,580,27.240848312242726,39.7255289250933,-9.36858920914378,0.9381245950820182,0.900804395946343,552,114.86676495659637
Graphormer-RT scratch179,internal_OOD,0238,0,2032,,23,zero-shot,580,27.513109845037025,38.86403935477432,-11.96543191226424,0.9498882465333337,0.905060066269471,552,117.04181186511886
Graphormer-RT scratch179,internal_OOD,0238,0,2034,,24,zero-shot,580,31.77887810582841,41.11229346333285,-18.89618008963539,0.9432718883545833,0.8937579458062854,547,120.10318611714472
Graphormer-RT scratch179,internal_OOD,0238,5,2004,2004,23,K-shot fine-tuning,575,20.84942625977261,33.07296103213789,3.919972968287766,0.9573335185328862,0.9311904031046708,547,124.77580873150492
Graphormer-RT scratch179,internal_OOD,0238,5,2006,2006,24,K-shot fine-tuning,574,31.02075465843698,40.09782698470733,-20.654108861050787,0.9537050270022118,0.8987392023358473,547,126.02666759457028
Graphormer-RT scratch179,internal_OOD,0238,5,2011,2011,23,K-shot fine-tuning,575,44.32198601754625,55.683277448992634,-26.938278484158218,0.9403398118221973,0.8045989305173458,527,139.7349109271152
Graphormer-RT scratch179,internal_OOD,0238,5,2012,2012,23,K-shot fine-tuning,575,33.72255585298104,45.39766196409023,25.963388194087084,0.9535569061185438,0.869998767358826,547,122.57908097239648
Graphormer-RT scratch179,internal_OOD,0238,5,2016,2016,24,K-shot fine-tuning,575,21.30409822414589,33.90751509094283,-0.4440881686447091,0.955210332628724,0.9275138990621236,546,119.88402565377173
Graphormer-RT scratch179,internal_OOD,0238,5,2020,2020,23,K-shot fine-tuning,575,27.579636854605507,39.728999111951744,3.847318595153806,0.9439184677823329,0.900497560188952,546,120.16443599954594
Graphormer-RT scratch179,internal_OOD,0238,5,2022,2022,23,K-shot fine-tuning,573,31.564931616221227,42.827121948098714,-18.21725974554264,0.9396634384796035,0.8837285760078422,546,112.24154475511816
Graphormer-RT scratch179,internal_OOD,0238,5,2027,2027,23,K-shot fine-tuning,575,27.167832907086805,39.6189719667349,-9.07466657884905,0.9387860745583587,0.9015544579846727,546,115.04672873054194
Graphormer-RT scratch179,internal_OOD,0238,5,2032,2032,23,K-shot fine-tuning,575,25.66233981785405,36.60129541190796,2.830608912905597,0.9448106388488109,0.9159505987824068,546,121.72688642214482
