model,ood_tier,method_id,method_name,K,n_runs,seeds_present,n_query_mean,mae_sec_mean,mae_sec_std,rmse_sec_mean,rmse_sec_std,medae_sec_mean,medae_sec_std,mape_pct_mean,mape_pct_std,r2_mean,r2_std
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,0,1,-1,45.0,38.62053476178804,,51.9061160904906,,27.233569418480783,,12.4749596932047,,0.5425973732324962,
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,5,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",40.0,274.87321235952794,200.735385018779,428.17027964955685,415.2825705679884,155.2839644214277,58.67120787449897,76.71056194006572,52.23777462054161,-53.922695613090845,125.58754203401675
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,20,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",25.0,125.17314683839115,71.34162258478395,182.5049880697279,131.59625656811497,82.71986956105187,24.978385697255085,33.87320513147033,19.967225802340497,-7.2589440562399545,11.600082135656907
Uni-RT GINKAN,external_OOD,0419,Waters SunFire C18,0,1,-1,154.0,77.7805701852272,,92.23177320128718,,68.54218377208014,,27.57468523667604,,-0.0240236082845164,
Uni-RT GINKAN,external_OOD,0419,Waters SunFire C18,5,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",149.0,230.360489278592,59.87672176923266,361.83516016259244,155.9082107065348,157.40565639787246,23.72986478288306,104.0941579260552,67.18220132377895,-17.261648727360654,14.941452639517788
Uni-RT GINKAN,external_OOD,0419,Waters SunFire C18,20,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",134.0,120.06153576689019,33.12227044452081,199.7470601320394,113.36890457414037,78.65768618878408,22.064920624425145,47.263641613842886,25.201904968144955,-5.273275556944634,7.612102226018751
Uni-RT GINKAN,external_OOD,0419,Waters SunFire C18,100,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",54.0,65.52429885214134,15.7635823957446,97.41339725016448,36.15229835161704,45.35584526863627,4.12306195632487,32.069179343110605,28.95742151327428,-0.16619879410211763,0.6480451688824374
Uni-RT GINKAN,external_OOD,0420,Waters SunFire C18,0,1,-1,156.0,614.2741550771417,,653.4056589652752,,571.61911944637,,62.7729532663445,,-6.067787601475257,
Uni-RT GINKAN,external_OOD,0420,Waters SunFire C18,5,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",151.0,806.4185505007251,503.87697774210227,1459.4089302467567,1150.4048093992049,424.9988866189554,155.34818044311243,84.34930303407344,55.04223247540645,-56.031003240039595,85.45730011605357
Uni-RT GINKAN,external_OOD,0420,Waters SunFire C18,20,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",136.0,366.3634058293737,64.64252485330941,532.3123836650825,112.72828463711885,253.88420458622392,42.7149052962457,37.41379144496138,6.903239035127817,-3.8076474757941234,1.9519643112183938
Uni-RT GINKAN,external_OOD,0420,Waters SunFire C18,100,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",56.0,267.956839578325,56.638244499288916,356.7184534955535,71.03761738636936,201.04688735335992,48.17490806015456,27.395840484244864,5.087201541081243,-1.1327041845597954,0.49717674373193704
Uni-RT GINKAN,external_OOD,0437,Agilent ZORBAX 300 SB-C18,0,1,-1,1896.0,314.6943131665645,,333.07961322221655,,305.2968619109774,,54.3698183502788,,-1.3132164109457531,
Uni-RT GINKAN,external_OOD,0437,Agilent ZORBAX 300 SB-C18,5,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",1891.0,343.5371134864995,110.30275681354378,552.1151844526289,284.3505307294212,227.66523226977242,37.601670387308104,58.84484999116976,16.54976849099918,-6.869978163619007,8.7230076710091
Uni-RT GINKAN,external_OOD,0437,Agilent ZORBAX 300 SB-C18,20,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",1876.0,239.99788971261665,26.025121121839884,359.2333072403092,65.32043100484907,168.38748739294238,17.15828786707893,42.18556119620264,3.938148682338977,-1.7763116964590389,1.126811458493267
Uni-RT GINKAN,external_OOD,0437,Agilent ZORBAX 300 SB-C18,100,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",1796.0,150.3952172191037,10.396595338285127,212.3686557062325,17.97119149300745,110.41054971298169,8.833331422793968,28.729635995679054,2.0310065489529356,0.057489561438589534,0.1612749501823019
Uni-RT GINKAN,external_OOD,0437,Agilent ZORBAX 300 SB-C18,1000,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",896.0,97.86292319141413,5.682438502365446,133.43887728265545,7.444164792046175,72.93538383083244,5.801016049533533,19.042549622999736,1.5729856989229962,0.6342514942995618,0.04116071283009239
Uni-RT GINKAN,internal_OOD,0097,(S)-NICOTINE,0,1,-1,96.0,262.03658287765154,,390.1679362598797,,61.673337695216055,,39.753255288223976,,0.2011330313397556,
Uni-RT GINKAN,internal_OOD,0097,(S)-NICOTINE,5,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",91.0,603.6629633972368,667.3590273213835,1973.553517621247,3000.646577669945,137.32752082219338,53.33216191649836,137.57154499257848,66.34771000884292,-61.182342099976054,172.8817194021899
Uni-RT GINKAN,internal_OOD,0097,(S)-NICOTINE,20,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",76.0,373.0262016257997,168.98668556777903,1253.709145472947,791.1241667610491,74.38168841978388,18.002210687998538,73.05085903207166,11.444687738066389,-9.756528431599628,13.066617966054071
Uni-RT GINKAN,internal_OOD,0238,Deoxycholic acid,0,1,-1,580.0,84.85879535045682,,111.4292247192478,,74.74070579140648,,37.701588775855384,,0.2195388980149889,
Uni-RT GINKAN,internal_OOD,0238,Deoxycholic acid,5,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",575.0,189.72552813550266,46.714041398281026,353.45563130657473,167.60965409891045,112.47502521120641,20.710095321186298,100.40479172289179,29.44807279982854,-8.44347099713394,9.380424785532506
Uni-RT GINKAN,internal_OOD,0238,Deoxycholic acid,20,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",560.0,125.78785064647832,45.987410672570256,210.8995065056663,106.2854420830532,75.85541214180333,17.848027590374198,72.85176647279727,29.897961056787636,-2.425814729646515,3.6345241565233
Uni-RT GINKAN,internal_OOD,0238,Deoxycholic acid,100,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",480.0,66.83528206407553,9.03770474923719,114.50981296986053,41.12424665662611,41.9743607701922,4.119934873295964,36.98544356772788,3.8452743054396987,0.0784544610905678,0.7156508864654354
