model,ood_tier,method_id,method_name,K,repeat_seed,n_total,n_total_molecules,n_support,n_support_rows,n_query,n_query_molecules,mode,unirt_seed,checkpoint,dataset_signature,support_rng_seed,head_init_seed,mae_sec,rmse_sec,medae_sec,mape_pct,r2
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2004,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116004.0,4104.0,37.41816979424499,50.51388107758228,28.518642670761665,26.17048137620856,0.5236667071431911
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2006,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116006.0,4106.0,39.66805618332228,56.95821278443216,29.206672886061696,28.13876686840004,0.4158298656288095
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2011,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116011.0,4111.0,36.230825271361994,49.492227030518585,27.3036102749129,24.19952182854844,0.5584990994217329
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2012,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116012.0,4112.0,45.49447261974355,60.6557288965561,34.50282033197712,30.804338040284673,0.3523541491254841
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2016,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116016.0,4116.0,43.142438483695834,62.38406588126608,31.55394685318697,28.998262971380967,0.3134325221462063
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2020,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116020.0,4120.0,42.58627095565352,58.38400250886053,31.842038610691304,27.779696579738644,0.3952565751815683
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2022,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116022.0,4122.0,39.94458880160196,53.39074179049667,30.44916965679924,27.03336845679688,0.4897991149047512
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2027,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116027.0,4127.0,36.1144138822028,49.21699143419522,27.051113048634484,24.66338578955111,0.5639147928008352
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2032,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116032.0,4132.0,45.34731284469596,75.7240597797761,33.907412872414554,29.692158993527062,-0.0243757833169133
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2034,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116034.0,4134.0,39.63452601056283,54.279186119766635,30.159532167912843,26.93677642511657,0.4762039292224344
