ood_tier,method_id,K,n_runs,n_query_mean,mae_sec_mean,mae_sec_std,mae_sec_n,rmse_sec_mean,rmse_sec_std,rmse_sec_n,mean_error_sec_mean,mean_error_sec_std,mean_error_sec_n,spearman_mean,spearman_std,spearman_n,r2_mean,r2_std,r2_n
external_OOD,0419,0,10,161.0,108.47576074764966,16.15669978045084,10,121.79057129258183,15.93491838746649,10,-102.98599539503964,17.05994163666433,10,0.6830630554792014,0.050447974704608815,10,-0.5744030727226419,0.4016363627775423,10
external_OOD,0419,5,10,156.0,52.39339657306958,4.4981425395707975,10,68.19518796550811,6.426904748045537,10,14.210563484364402,22.123300255353875,10,0.6694888651255467,0.05477568046334295,10,0.513263177614382,0.10037948089314176,10
external_OOD,0419,20,10,140.8,49.33821120058906,5.266245166681407,10,64.00767274730045,5.01834424439042,10,-11.732087700873516,17.556923296484154,10,0.696209017092948,0.03153591048862099,10,0.5643330214588509,0.06693707746220777,10
external_OOD,0419,100,10,59.1,50.99206584823046,7.629633507877297,10,68.39464102104057,8.58358079269985,10,15.842093784861836,21.107941533743503,10,0.7358422115150892,0.049220767073328696,10,0.5161150414257493,0.142766549515998,10
external_OOD,0420,0,10,169.0,268.31819690190827,106.54187448284017,10,346.6613183974425,130.2062868970479,10,30.073965574509998,192.73795133590025,10,0.2263866806062995,0.06573892570223361,10,-1.2407181159418994,1.9894239546851415,10
external_OOD,0420,5,10,163.9,251.08972812144188,107.75195976478358,10,332.8495050496193,129.9720772991181,10,2.3397423422289316,190.53533429386357,10,0.24863922545766062,0.10251745774211517,10,-1.1122042992014731,2.0792624787375993,10
external_OOD,0420,20,10,148.0,209.50389110725482,22.33076275737368,10,280.28885601226426,24.586281266844626,10,-23.981154907423182,106.87542128933411,10,0.25846473452075625,0.04549209186642361,10,-0.29851021800883504,0.23179128734565516,10
external_OOD,0420,100,10,61.7,233.1417813026249,33.37898633987878,10,287.01840550307753,25.500552939471522,10,120.90772013066339,74.6136482287733,10,0.23782215787834274,0.17322552974151495,10,-0.4635416781398998,0.4502006706695951,10
external_OOD,0437,0,10,1953.0,854.6043933503696,280.3806502818216,10,959.3057816676741,287.3195959876022,10,834.2365548379445,291.5948841788517,10,0.7610939720752506,0.05767335690654055,10,-19.39432813623453,11.260997823178243,10
external_OOD,0437,5,10,1948.0,188.54235101551453,96.10322635876535,10,248.956485889533,128.73632489969256,10,69.15345664200176,144.42520991099633,10,0.7104555886657563,0.10152261776404564,10,-0.5794089915347954,1.606531112553461,10
external_OOD,0437,20,10,1933.0,165.66348538275827,104.34014792270825,10,212.6366958675587,124.88286793947819,10,24.98485052387678,92.37848885765841,10,0.7568269303086895,0.06235013952107672,10,-0.21659810065280694,1.5934187656750696,10
external_OOD,0437,100,10,1853.0,108.42977216541647,11.30274119635539,10,137.50272047415743,13.10448387488678,10,28.589357040959214,31.924483057548727,10,0.8414485632415722,0.03824797953366793,10,0.6096804283695529,0.07378537699631617,10
external_OOD,0437,1000,10,953.0,74.72854471865139,4.23563700696167,10,101.50842535714179,6.562797462966621,10,-8.508820199834696,16.702566727111737,10,0.9114083158407382,0.008469537020587158,10,0.7843799201542521,0.026203530504370565,10
