model,ood_tier,method_id,K,base_split_seed,support_split_seed,optimization_seed,protocol,n_test_rows,mae_sec,rmse_sec,mean_error_sec,spearman,r2,prediction_unique,prediction_std
Graphormer-RT scratch179,external_OOD,0390,100,2022,2022,23,K-shot fine-tuning,7137,38.4282426558828,50.337918572153214,-1.2907636131286413,0.7765285964142368,0.5795312136938815,3379,58.71679899395862
Graphormer-RT scratch179,external_OOD,0390,100,2027,2027,23,K-shot fine-tuning,7107,40.714089921253006,53.28944932563589,-15.758638988249396,0.7883014827715296,0.5281242051324675,3378,50.95607193307172
Graphormer-RT scratch179,external_OOD,0390,100,2032,2032,23,K-shot fine-tuning,7146,36.94100931500289,48.55568533596506,-14.522524594933758,0.8117577290179029,0.605504227857045,3378,60.370055523426885
Graphormer-RT scratch179,external_OOD,0390,100,2034,2034,24,K-shot fine-tuning,7107,39.15028673075391,51.007357088526284,-3.245208450640623,0.7654982697574397,0.5673037029910654,3370,65.58706035887946
Graphormer-RT scratch179,external_OOD,0390,1000,2004,2004,23,K-shot fine-tuning,5225,32.06148692039087,42.82621295347328,-6.834733514583105,0.8416777292794723,0.6891744111605856,2479,68.20848656700296
Graphormer-RT scratch179,external_OOD,0390,1000,2006,2006,24,K-shot fine-tuning,5265,29.587918185387498,39.742407656401106,-4.228816774973587,0.8619928621655281,0.7344436678678845,2480,66.01918838439869
Graphormer-RT scratch179,external_OOD,0390,1000,2011,2011,23,K-shot fine-tuning,5305,31.202866670146275,41.28867347030448,-1.1061274169608042,0.8570808525859746,0.7133852993473926,2482,68.33753498828058
Graphormer-RT scratch179,external_OOD,0390,1000,2012,2012,23,K-shot fine-tuning,5251,32.376596586224686,42.73464916440467,-0.031001452302303938,0.8559146961000391,0.6958434229976154,2481,75.60726347333765
Graphormer-RT scratch179,external_OOD,0390,1000,2016,2016,24,K-shot fine-tuning,5247,30.56809243510742,41.05293011491339,-4.136334642636914,0.8572909949498183,0.7206854555684449,2476,68.17656362859836
Graphormer-RT scratch179,external_OOD,0390,1000,2020,2020,23,K-shot fine-tuning,5221,32.82145334532018,42.46211273820994,10.134169615452313,0.8419949412250692,0.6877863447704456,2480,67.3797393098901
Graphormer-RT scratch179,external_OOD,0390,1000,2022,2022,23,K-shot fine-tuning,5272,31.38584116838497,41.488891059573646,-0.8134676950793976,0.8474143845803318,0.7116532022414546,2478,65.69549907474756
Graphormer-RT scratch179,external_OOD,0390,1000,2027,2027,23,K-shot fine-tuning,5209,31.56616567114837,42.516848276177676,-9.253452373808008,0.8551763241141023,0.6989363890636126,2480,69.11728736406356
Graphormer-RT scratch179,external_OOD,0390,1000,2032,2032,23,K-shot fine-tuning,5284,31.678575598849807,41.847439387455566,-0.0980149634745761,0.8452128077074327,0.707573260831684,2482,69.61024696161988
Graphormer-RT scratch179,external_OOD,0390,1000,2034,2034,24,K-shot fine-tuning,5247,31.842837575623385,42.64415741526043,-11.481205566909766,0.8559937368107732,0.6903475709033304,2475,73.34041128927896
Graphormer-RT scratch179,external_OOD,0391,0,2004,,23,zero-shot,9686,111.88799504934126,127.79245450316577,107.91985216096117,0.4945517075171761,-1.8864709741127719,7003,66.59658755492372
Graphormer-RT scratch179,external_OOD,0391,0,2006,,24,zero-shot,9686,81.6701404096181,98.43814942731963,70.43334814594282,0.5831670107937591,-0.7127092867575784,6964,78.44568620564526
Graphormer-RT scratch179,external_OOD,0391,0,2011,,23,zero-shot,9686,116.35956683277087,131.39912019829572,113.59076441313526,0.5496226209211497,-2.051698934007286,7028,67.90358372647859
Graphormer-RT scratch179,external_OOD,0391,0,2012,,23,zero-shot,9686,89.52135536460091,106.51318192764454,82.11756614455116,0.5186437061843652,-1.0052267470041665,6989,64.0070114450884
Graphormer-RT scratch179,external_OOD,0391,0,2016,,24,zero-shot,9686,91.37919899236796,109.48733948159625,83.49952908244731,0.48109187769055856,-1.1187737150347425,6952,68.79270298558684
Graphormer-RT scratch179,external_OOD,0391,0,2020,,23,zero-shot,9686,92.70431019583859,108.8256912932312,85.70359631351343,0.5312356303018863,-1.0932429659236762,7008,65.87040460432158
Graphormer-RT scratch179,external_OOD,0391,0,2022,,23,zero-shot,9686,113.54950679447475,128.7646648261427,109.60721407349497,0.5015122720635359,-1.9305570120473896,6998,63.479054047450994
Graphormer-RT scratch179,external_OOD,0391,0,2027,,23,zero-shot,9686,100.74300309115279,115.30578900046122,96.37556517823235,0.5490348366408713,-1.3499520191501762,6999,58.521704730306524
Graphormer-RT scratch179,external_OOD,0391,0,2032,,23,zero-shot,9686,110.40173920457781,126.12800064487405,106.23924961383219,0.5326067677437882,-1.8117700078684185,7005,70.28827187281539
Graphormer-RT scratch179,external_OOD,0391,0,2034,,24,zero-shot,9686,79.93092574414743,96.14591053774747,69.46851141983883,0.5150669279197705,-0.6338734088380922,6955,61.80208377794857
Graphormer-RT scratch179,external_OOD,0391,5,2004,2004,23,K-shot fine-tuning,9680,60.87005449399306,76.86166522182276,-39.65621695780168,0.5501032956839684,-0.044422638043889906,6895,65.20915859364412
Graphormer-RT scratch179,external_OOD,0391,5,2006,2006,24,K-shot fine-tuning,9679,65.35070084695664,81.39634165675338,43.40562294408108,0.5859745015478747,-0.17085204505045715,6876,79.05544479850509
Graphormer-RT scratch179,external_OOD,0391,5,2011,2011,23,K-shot fine-tuning,9674,59.93013079222334,77.68511105807215,-37.46860408022382,0.419704863435511,-0.06593438510293059,6887,19.931296160904143
